,Name,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special
0,Invisible Friends #1,Blue,Skull,Swinging,Black Nerd Glasses,Big Hat,Long Sleeves,Yellow / Blue Hoodie Jacket with Hood Down,Green Sweatpants,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #2,Blue,Swinging,Dog,White Glasses,,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Pink Skirt,Dark Blue Slippers,,,,,,,,,,,
0,Invisible Friends #3,Blue,Stick Bag,Swinging,Sunglasses,,Long Sleeves,Blue Zipper Hoodie with Hood Down,Green Tracksuit Pants,Blue Shoes,Bing Bong Stick,,,,,,,,,,
0,Invisible Friends #4,Blue,Swinging,Swinging,Sunglasses,Light Blue Beanie,Long Sleeves,Pink Hoodie with Hood Down,Dark Blue Pants,Summer Day Sneakers,Cigar,,,,,,,,,,
0,Invisible Friends #5,Blue,Swinging,Swinging,White Nerd Glasses,,Long Sleeves,Blue Zipper Hoodie with Hood Down,Tan Skirt,Pink Slippers,,,,,,,,,,,
0,Invisible Friends #6,Blue,Swinging,Swinging,Boomer Glasses,Cowboy Hat,Long Sleeves,Orange Puffer Jacket,Blue Sweatpants,White Shoes,Toothpick,,,,,,,,,,
0,Invisible Friends #7,Blue,Swinging,Boombox,Swirly Glasses,Rain Hat,Short Sleeves,Grey Tucked Shirt,Lavender Pants,Dark Blue Slippers,,Grey Backpack with Slingshot,Bandage,,,,,,,,
0,Invisible Friends #8,Yellow,Swinging,Book,Sunglasses,Blue 5 Panel Cap,Long Sleeves,Grey Zipper Hoodie with Hood Down,Tan Pants,Maroon Shoes,,,,,,,,,,,
0,Invisible Friends #9,Blue,Swinging,Boombox,Sunglasses,,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Up,Green Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #10,Blue,Swinging,Swinging,White Glasses,,Long Sleeves,Pink Zipper Hoodie with Hood Up,Dark Blue Skirt,White Shoes,,,,,,,,,,,
0,Invisible Friends #11,Pink,Swinging,Swinging,Eye Patch,,Long Sleeves,Purple Zipper Hoodie with Hood Down,Tan Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #12,Blue,Swinging,Swinging,Swirly Glasses,Blue Beanie,Long Sleeves,Light Blue Loose Shirt with Pens,Light Blue Shorts,Ice Grey Sneakers,,,,,,,,,,,
0,Invisible Friends #13,Purple,Bomb,Swinging,VR Goggles Moon,,Long Sleeves,Blue Loose Shirt,Blue Sweatpants,Yellow Boots,,,,,,,,,,,
0,Invisible Friends #14,Blue,Swinging,Swinging,Sunglasses,White / Blue Baseball Cap,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Light Blue Skirt,Brown Boots,Bandana,,,White Death Robe,,,,,,,
0,Invisible Friends #15,Blue,Swinging,Cat,Sunglasses,Visor,Long Sleeves,White Loose Shirt,Tan Pants,Tan Boots,,,,,Gum,,,,,,
0,Invisible Friends #16,Purple,Swinging,Swinging,Thief Mask,,Long Sleeves,Dark Blue / White Sweater Vest and Shirt,Charcoal Pants,Bleached Sand Sneakers,Toothpick,,,Black Death Robe,,Green Fannypack,,,,,
0,Invisible Friends #17,Orange,Bomb,Swinging,,Detective Hat,Long Sleeves,Dark Blue / White V-Neck Sweater and Shirt,Tan Pants,Forest Moss Sneakers,Bandana,Duffel Bag,,,,,Scarf Bandana,,,,
0,Invisible Friends #18,Blue,Swinging,Swinging,Black Nerd Glasses,Feather Cap,Long Sleeves,Blue Hoodie with Hood Down,Red Tracksuit Pants,Summer Day Sneakers,,,,,,,,,,,
0,Invisible Friends #19,Purple,Swinging,Boombox,Black Glasses,Red Headband,Long Sleeves,Purple Zipper Hoodie with Hood Down,Lavender Pants,Summer Day Sneakers,,,,,,Black Fannypack,,,,,
0,Invisible Friends #20,Blue,Swinging,Laptop,Brown Glasses,Turquoise 5 Panel Cap,Long Sleeves,Purple Hoodie with Hood Up,Dark Blue Pants,Ice Grey Sneakers,,,Bandage,,,Cream Fannypack,,,,,
0,Invisible Friends #21,Blue,Vibes,Vibes,,,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Up,Grey Sweatpants,Green Shoes,,Tote,,,,,,,,,
0,Invisible Friends #22,Blue,Swinging,Swinging,,Tie,Long Sleeves,Grey Sweatshirt,Dark Blue Skirt,Green Boots,Toothpick,,,,,,,,,,
0,Invisible Friends #23,Orange,Juice,Swinging,Nose Glasses with White Hair,,Long Sleeves,Blue / White Sweater and Shirt,Red Sweatpants,Red Shoes,,,,,,,,,,,
0,Invisible Friends #24,Green,Axe,Swinging,Nose Glasses with Black Hair,,Long Sleeves,Yellow / Blue Hoodie Jacket with Hood Down,Charcoal Pants,Black Shoes,Straw,,,,,Yellow Fannypack,,,,,
0,Invisible Friends #25,Purple,Axe,Swinging,Black Glasses,,Short Sleeves,White Loose Shirt,White Tracksuit Pants,Ice Grey Sneakers,,,,Green Cape,,,,,,,
0,Invisible Friends #26,Blue,Juice,Dog,Boomer Glasses,,Long Sleeves with Stripes,Green Tracksuit Jacket,White Sweatpants,Summer Day Sneakers,Bing Bong Stick,,Bandage,,,,,,,,
0,Invisible Friends #27,Green,Swinging,Magic Wand,,Big Hat,Long Sleeves with Stripes,Blue / Yellow Tracksuit Jacket,Light Blue Shorts,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #28,Purple,Scientist,Swinging,Black Glasses,Light Blue Beanie,Long Sleeves,Indigo Turtleneck,Blue Pants,Bubblegum Blue Sneakers,Cigar,,,,,,,White Suspenders,,,
0,Invisible Friends #29,Purple,Swinging,Laptop,Sunglasses,,Long Sleeves,Dark Blue / White V-Neck Sweater and Shirt,Green Skirt,Rocket Pop Sneakers,,Black Chest Bag,,,,,,,,,
0,Invisible Friends #30,Blue,Swinging,Pocket,White Nerd Glasses,,Long Sleeves,Orange Puffer Jacket,Red Sweatpants,Green Shoes,,,,,,,,,,,
0,Invisible Friends #31,Pink,Duffel Bag,Fast Food,White Nerd Glasses,,Long Sleeves,Blue Zipper Hoodie with Hood Down,Purple Sweatpants,Summer Day Sneakers,,,,,,,,,,,
0,Invisible Friends #32,Blue,Swinging,Swinging,Black Glasses,,Long Sleeves,Pink Hoodie with Hood Down,Dark Blue Shorts,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #33,Blue,Fishing Pole,Book,Eye Patch,,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Up,Grey Sweatpants,Maroon Shoes,Cigar,,,,,,,,,,
0,Invisible Friends #34,Blue,Swinging,Swinging,Black Nerd Glasses,Big Hat,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Dark Blue Pants,Dark Blue Slippers,Bandana,,,,,,,,,,
0,Invisible Friends #35,Blue,Swinging,Swinging,Sunglasses,,Long Sleeves,Orange Puffer Jacket,Pink Shorts,Light Blue Slippers,,,,,,,,,,,
0,Invisible Friends #36,Pink,Swinging,Swinging,,Turquoise 5 Panel Cap,Long Sleeves,Blue / Green / Pink Puffer Vest,Blue Sweatpants,Dark Blue Slippers,,Grey Backpack,,,,,,,,,
0,Invisible Friends #37,Green,Swinging,Coffee,Nose Glasses with Black Hair,,Long Sleeves,Green / White / Blue Tracksuit Jacket,Tan Pants,Bubblegum Blue Sneakers,,,,,,Green Fannypack,,,Bing Bong Stick,,
0,Invisible Friends #38,Orange,Swinging,Coffee,White Nerd Glasses,Detective Hat,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,Light Blue Shorts,Bunny Slippers,Toothpick,,Bandage,,,,,,,,
0,Invisible Friends #39,Green,Boxing Glove,Cat,Pointy Glasses,White Headband,Long Sleeves,Black Hoodie with Hood Down,Purple Sweatpants,Red Shoes,,,,,Gum,,,,,,
0,Invisible Friends #40,Purple,Swinging,Swinging,,Cream Beanie,Long Sleeves,Pink Hoodie with Hood Down,Tan Pants,Summer Day Sneakers,,,,,,Green Fannypack,,,,,
0,Invisible Friends #41,Blue,Swinging,Pocket,White Nerd Glasses,White / Turquoise Backwards Cap,Long Sleeves,Cream Sweatshirt,Purple Tracksuit Pants,White Shoes,,,,,,,Scarf Bandana,,,,
0,Invisible Friends #42,Purple,Swinging,Book,Thief Mask,White / Light Blue Headband,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Down,Pink Shorts,Bubblegum Blue Sneakers,Bing Bong Stick,,,,,Cream Fannypack,,,,,
0,Invisible Friends #43,Green,Swinging,Swinging,Boomer Glasses,,Short Sleeves,Light Blue Loose Shirt,Tan Shorts,Red Shoes,,Grey Backpack with Slingshot,,,,,,,Pencil,,
0,Invisible Friends #44,Blue,Scientist,Swinging,,Light Blue Beanie,Short Sleeves,Black T-Shirt,Red Sweatpants,Tan Boots,Cigar,Grey Backpack with Slingshot,,,,,,,Bing Bong Stick,Dizzy,
0,Invisible Friends #45,Purple,Swinging,Coffee,Brown Glasses,,Long Sleeves,Orange Puffer Jacket,Green Sweatpants,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #46,Blue,Swinging,Swinging,Brown Glasses,,Long Sleeves,Green / White V-Neck Sweater Vest and Shirt,Dark Blue Skirt,Maroon Shoes,Toothpick,,,White Death Robe,,,,,,,
0,Invisible Friends #47,Purple,Swinging,Swinging,,Cream Beanie,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,Green Pants,Green Shoes,,,,,,Yellow Fannypack,,,,,
0,Invisible Friends #48,Yellow,Duffel Bag,Swinging,Black Nerd Glasses,,Short Sleeves,Dark Blue / White Sweater Vest and Shirt,Grey Sweatpants,Light Blue Slippers,Bandana,,,,,,,,,,
0,Invisible Friends #49,Blue,Bomb,Swinging,,,Long Sleeves,Yelow / Blue Hoodie Jacket with Hood Up,White Tracksuit Pants,Dark Blue Slippers,,Brown Backpack,,,,Cream Fannypack,,,,,
0,Invisible Friends #50,Blue,Baseball Bat,Burning Computer,Black Nerd Glasses,Tie,Short Sleeves,Light Blue Loose Shirt with Pens,Dark Blue Pants,Black Shoes,,,Bandage,,,,,,,,
0,Invisible Friends #51,Blue,Swinging,Laptop,Black Glasses,Turquoise 5 Panel Cap,Long Sleeves,Red / White Varsity Jacket,Blue Sweatpants,White Shoes,,,Bandage,,,,,,,,
0,Invisible Friends #52,Blue,Bomb,Laptop,Sunglasses,,Short Sleeves,Blue Tucked Shirt,Light Blue Shorts,White Shoes,Toothpick,,,,,,,,,,
0,Invisible Friends #53,Blue,Baseball Bat,Swinging,,White / Light Blue Headband,Short Sleeves,White Loose Shirt with Pens,Grey Tracksuit Pants,Green Boots,,,,,,,,,,,
0,Invisible Friends #54,Green,Swinging,Basketball,Black Glasses,,Long Sleeves,Light Blue / Pink Tucked Shirt,Green Tracksuit Pants,Blue Shoes,,Grey Backpack with Balloons,Bandage,,,,,,,,
0,Invisible Friends #55,Pink,Skateboard,Dog,Sunglasses,White / Red Backwards Cap,Long Sleeves,Green / White V-Neck Sweater Vest and Shirt,Green Skirt,Ice Grey Sneakers,Toothpick,,,,,,,,,,
0,Invisible Friends #56,Blue,Swinging,Coffee,,Rain Hat,Long Sleeves,Pink Zipper Hoodie with Hood Down,Dark Blue Shorts,Light Blue Slippers,,,,,,,,,,,
0,Invisible Friends #57,Yellow,Swinging,Swinging,Googly Eyes,White Headband,Long Sleeves,Naked,Naked,Pink Slippers,,,,Grey Belted Coat,,,Scarf Bandana,,,,
0,Invisible Friends #58,Pink,Boxing Glove,Boombox,Black Nerd Glasses,,Long Sleeves,Black Zipper Hoodie with Hood Up,Lavender Pants,Bunny Slippers,,,,,,,,,,,
0,Invisible Friends #59,Orange,Swinging,Swinging,Googly Eyes,,Short Sleeves,Light Blue Loose Shirt,Purple Tracksuit Pants,Dark Blue Slippers,,,,,,,,,,,
0,Invisible Friends #60,Orange,Swinging,Swinging,Brown Glasses,Knitted Bobble Hat,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,White Shorts,Bleached Sand Sneakers,Cigar,,,,,,,,,,
0,Invisible Friends #61,Blue,Swinging,Swinging,Nose Glasses with White Hair,Visor,Long Sleeves,Dark Blue / White Sweater and Shirt,Green Pants,Bubblegum Blue Sneakers,,,,Black Death Robe,,,,,,,
0,Invisible Friends #62,Yellow,Swinging,Boxing Glove,,,Long Sleeves,Blue Tucked Shirt,Pink Shorts,Blue Shoes,,,,,,,,,Earphones,,
0,Invisible Friends #63,Blue,Stick Bag,Dog,Sunglasses,Blue 5 Panel Cap,Long Sleeves,Blue Zipper Hoodie with Hood Down,Red Sweatpants,White Shoes,Bandana,,,,,,,,,,
0,Invisible Friends #64,Blue,Swinging,Swinging,White Nerd Glasses,,Long Sleeves,Purple Zipper Hoodie with Hood Down,Red Sweatpants,Summer Night Sneakers,,,Bandage,,,,,,,,
0,Invisible Friends #65,Blue,Swinging,Coffee,Black Glasses,Light Blue Beanie,Long Sleeves,Dark Blue / White Sweater and Shirt,White Skirt,Light Blue Slippers,,,Bandage,,,,,,,,
0,Invisible Friends #66,Blue,Swinging,Swinging,,White Headband,Short Sleeves,Light Blue / Pink Tucked Shirt,Red Tracksuit Pants,Maroon Shoes,Bing Bong Stick,Brown Backpack,,,,,,,,,
0,Invisible Friends #67,Blue,Swinging,Swinging,Cool Glasses,,Long Sleeves,Purple Zipper Hoodie with Hood Down,Green Pants,Tan Boots,,,,,,,,,Bing Bong Stick,,
0,Invisible Friends #68,Orange,Baseball Bat,Swinging,,Turquoise 5 Panel Cap,Short Sleeves,Black T-Shirt,White Shorts,Yellow Boots,,,,,,,,,,,
0,Invisible Friends #69,Blue,Swinging,Swinging,,Light Blue Beanie,Long Sleeves,Green / White Varsity Jacket,Purple Tracksuit Pants,Ocean Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #70,Blue,Boxing Glove,Swinging,Brown Glasses,,Long Sleeves,Green / White Varsity Jacket,Purple Sweatpants,Ice Grey Sneakers,,,,,,,,,Earrings,,
0,Invisible Friends #71,Purple,Scientist,Dog,,Tan Baseball Cap,Long Sleeves,Blue / White Varsity Jacket,Blue Sweatpants,Black Shoes,,,,,,,,,,,
0,Invisible Friends #72,Blue,Swinging,Pocket,Nerd Ghost Glasses,Blue 5 Panel Cap,Long Sleeves,Green / White V-Neck Sweater Vest and Shirt,Dark Blue Shorts,Black Shoes,Pipe,Yellow Chest Bag,,,,,,,,,
0,Invisible Friends #73,Yellow,Swinging,Book,Black Nerd Glasses,Blue 5 Panel Cap,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Green Shorts,Maroon Shoes,,,,White Death Robe,,Yellow Fannypack,,,,,
0,Invisible Friends #74,Blue,Boxing Glove,Swinging,,Light Blue Beanie,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,Dark Blue Skirt,Maroon Shoes,,,,,,,,,,,
0,Invisible Friends #75,Blue,Axe,Book,White Glasses,,Long Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Light Blue Shorts,Summer Day Sneakers,Toothpick,,,,,,,,,,
0,Invisible Friends #76,Blue,Swinging,Swinging,Nose Glasses with White Hair,,Long Sleeves,Blue Turtleneck,Dark Blue Shorts,Summer Day Sneakers,,,,,,,,,Pencil,,
0,Invisible Friends #77,Purple,Spray Can,Swinging,,Pink Pointy Beanie,Short Sleeves,Pink Tucked Shirt with Pens,Grey Tracksuit Pants,Ice Grey Sneakers,,,,,,,,,,,
0,Invisible Friends #78,Pink,Juice,Swinging,Black Glasses,Turquoise 5 Panel Cap,Long Sleeves,Grey Zipper Hoodie with Hood Down,Green Pants,White Shoes,,,,,,,,,,,
0,Invisible Friends #79,Orange,Umbrella,Swinging,Swirly Glasses,,Long Sleeves,Green Turtleneck,White Sweatpants,Blue Shoes,Cigar,,,,,,,,,,
0,Invisible Friends #80,Pink,Juice,Pocket,Eye Patch,,Long Sleeves,Grey Sweatshirt,Green Pants,Ice Grey Sneakers,,,,,,,Scarf Bandana,,,,
0,Invisible Friends #81,Green,Swinging,Swinging,White Glasses,,Long Sleeves with Stripes,Blue Tracksuit Jacket,Blue Tracksuit Pants,Red Shoes,Bandana,,,,,,,,,,
0,Invisible Friends #82,Yellow,Swinging,Tennis Racket,Sunglasses,,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Up,White Tracksuit Pants,Light Blue Slippers,,,,,,,,,,,
0,Invisible Friends #83,Pink,Juice,Pocket,,,Long Sleeves,Purple Zipper Hoodie with Hood Up,Green Pants,Rocket Pop Sneakers,,,,,,,,,,,
0,Invisible Friends #84,Pink,Axe,Swinging,,Yellow / Blue Pointy Beanie,Long Sleeves,Purple Hoodie with Hood Down,Tan Pants,White Shoes,,,,,,,,,,,
0,Invisible Friends #85,Green,Swinging,Book,White Nerd Glasses,White / Light Blue Headband,Short Sleeves,Blue Tucked Shirt with Pens,Grey Tracksuit Pants,Red Shoes,,,,,Gum,,,,,,
0,Invisible Friends #86,Blue,Swinging,Swinging,Nose Glasses with Black Hair,,Long Sleeves,Red Tracksuit Jacket,Red Sweatpants,Yellow Boots,Bandana,,,Black Death Robe,,,,,,,
0,Invisible Friends #87,Orange,Umbrella,Swinging,Eye Patch,Tie,Long Sleeves,Naked,Naked,Green Boots,Bandana,,,Grey Belted Coat,,,,,,,
0,Invisible Friends #88,Blue,Juice,Swinging,,White / Blue Baseball Cap,Short Sleeves,Blue Tucked Shirt,Blue Tracksuit Pants,Maroon Shoes,,Brown Backpack,,,,,,,Headphones,,
0,Invisible Friends #89,Blue,Axe,Coffee,,Tan Baseball Cap,Short Sleeves,Blue / White Sweater Vest and Shirt,Green Pants,Pink Slippers,,,,,,,Scarf Bandana,,,,
0,Invisible Friends #90,Yellow,Axe,Fast Food,,White / Blue Baseball Cap,Long Sleeves,Dark Blue / White Sweater Vest and Shirt,Lavender Pants,Maroon Shoes,,,Bandage,Yellow Coat,,,,,Bing Bong Stick,,
0,Invisible Friends #91,Purple,Skateboard,Swinging,Brown Glasses,Rain Hat,Long Sleeves,Purple Zipper Hoodie with Hood Down,Pink Shorts,Bubblegum Blue Sneakers,Toothpick,,,,,,,,,,
0,Invisible Friends #92,Yellow,Swinging,Laptop,Brown Glasses,Visor,Long Sleeves,Grey Tucked Shirt,Purple Sweatpants,Maroon Shoes,,,,,,,Scarf,,,,
0,Invisible Friends #93,Pink,Boxing Glove,Swinging,White Glasses,,Long Sleeves with Stripes,Blue Tracksuit Jacket,Green Pants,Pink Slippers,,,,,Gum,,,,,,
0,Invisible Friends #94,Green,Swinging,Swinging,Sunglasses,Blue Bucket Hat,Long Sleeves,Orange Puffer Jacket,Dark Blue Skirt,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #95,Pink,Swinging,Book,,,Long Sleeves,Blue Zipper Hoodie with Hood Up,Red Tracksuit Pants,Cream Slippers,,,,,,,,,,,
0,Invisible Friends #96,Blue,Swinging,Coffee,Nose Glasses with White Hair,White / Blue Baseball Cap,Long Sleeves,Light Blue / Pink Tucked Shirt,Pink Shorts,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #97,Blue,Swinging,Swinging,White Nerd Glasses,,Long Sleeves,Blue / Green / Pink Puffer Vest,Tan Skirt,Ice Grey Sneakers,,,,,,,,,,,
0,Invisible Friends #98,Blue,Axe,Swinging,,Tan Bucket Hat,Long Sleeves,Cream Sweatshirt,Lavender Pants,Rocket Pop Sneakers,,,,,,Yellow Fannypack,,,Headphones with Music,,
0,Invisible Friends #99,Green,Stick Bag,Swinging,White Glasses,,Long Sleeves,Pink Hoodie with Hood Down,Pink Skirt,Tan Boots,,,,,,,,,,,
0,Invisible Friends #100,Blue,Swinging,Dog,,Light Blue Beanie,Long Sleeves,Blue Turtleneck,Green Pants,Tan Boots,,,,Grey Belted Coat,,,,,Headphones with Music,,
0,Invisible Friends #101,Yellow,Bomb,Fast Food,,Big Hat,Long Sleeves,Light Blue / Pink Tucked Shirt,Light Blue Shorts,Dark Blue Slippers,Cigar,,,,,,Scarf Bandana,,,,
0,Invisible Friends #102,Blue,Swinging,Swinging,White Nerd Glasses,,Short Sleeves,Grey / White V-Neck Sweater Vest and Shirt,Tan Pants,Summer Day Sneakers,Bandana,,,,,,,,Headphones with Music,,
0,Invisible Friends #103,Blue,Swinging,Laptop,,Green Pointy Beanie,Long Sleeves with Stripes,Green / White / Blue Tracksuit Jacket,Purple Sweatpants,Red Shoes,Straw,,,,,,,,,,
0,Invisible Friends #104,Blue,Swinging,Book,Black Glasses,,Long Sleeves,Purple Hoodie with Hood Up,Lavender Pants,Dark Blue Slippers,Toothpick,Tote,,,,,,,,,
0,Invisible Friends #105,Blue,Bomb,Dog,White Glasses,,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Down,Red Tracksuit Pants,Ice Grey Sneakers,,,,,,,,,,,
0,Invisible Friends #106,Blue,Swinging,Swinging,,Tan Bucket Hat,Long Sleeves,Green / White / Blue Tracksuit Jacket,Green Shorts,Green Boots,,,,,,,,,,,
0,Invisible Friends #107,Blue,Swinging,Swinging,Thief Mask,Tan Bucket Hat,Long Sleeves,Blue Sweatshirt,Green Pants,Blue Shoes,,,,,,,,,,,
0,Invisible Friends #108,Blue,Swinging,Swinging,Sunglasses,Knitted Bobble Hat,Short Sleeves,Blue Loose Shirt,Blue Pants,Green Shoes,Pipe,,,,,,,Rainbow Suspenders,,,
0,Invisible Friends #109,Blue,Axe,Book,Black Glasses,,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Pink Shorts,Ice Grey Sneakers,,Cream Chest Bag,,,,,Scarf,,,,
0,Invisible Friends #110,Blue,Umbrella,Pocket,White Glasses,,Long Sleeves,Blue / White Sweater and Shirt,White Shorts,Tan Boots,,,,,,,,,,,
0,Invisible Friends #111,Yellow,Axe,Swinging,,Blue Beanie,Long Sleeves,Black Zipper Hoodie with Hood Down,Lavender Pants,White Shoes,,,,,,,,,,,
0,Invisible Friends #112,Blue,Swinging,Book,Nose Glasses with Black Hair,,Long Sleeves,Grey Zipper Hoodie with Hood Down,Tan Shorts,White Shoes,Bing Bong Stick,,,,,,,,,,
0,Invisible Friends #113,Orange,Swinging,Swinging,Eye Patch,Light Blue Beanie,Long Sleeves,Orange Puffer Jacket,Pink Skirt,Forest Moss Sneakers,,,,,,,,,,,
0,Invisible Friends #114,Yellow,Swinging,Swinging,,Feather Cap,Long Sleeves,Dark Blue / White Sweater and Shirt,Blue Pants,Summer Day Sneakers,,,,,,,,,,,
0,Invisible Friends #115,Yellow,Boxing Glove,Book,Googly Eyes,,Long Sleeves,Grey Zipper Hoodie with Hood Up,Green Skirt,Tan Boots,Straw,,,,,Yellow Fannypack,,,,,
0,Invisible Friends #116,Blue,Stick Bag,Book,White Nerd Glasses,,Long Sleeves,Grey Zipper Hoodie with Hood Down,Green Skirt,Maroon Shoes,,,,,,,,,,,
0,Invisible Friends #117,Purple,Swinging,Swinging,,,Long Sleeves,Black Zipper Hoodie with Hood Up,Green Tracksuit Pants,Summer Night Sneakers,Straw,,,,,,,,,,
0,Invisible Friends #118,Yellow,Scientist,Pocket,Boomer Glasses,Big Hat,Long Sleeves,Green / White Varsity Jacket,Blue Sweatpants,Red Shoes,,,,,Gum,,,,,,
0,Invisible Friends #119,Purple,Swinging,Swinging,Sunglasses,,Long Sleeves,Blue Zipper Hoodie with Hood Up,White Sweatpants,Light Blue Slippers,Toothpick,,,,,,,,,,
0,Invisible Friends #120,Blue,Swinging,Swinging,Black Glasses,,Short Sleeves,White Loose Shirt,Tan Pants,Red Shoes,,Duffel Bag,,,,,,,,,
0,Invisible Friends #121,Blue,Stick Bag,Swinging,Brown Glasses,White / Turquoise Backwards Cap,Long Sleeves,Yellow / Blue Hoodie Jacket with Hood Down,Green Sweatpants,Rocket Pop Sneakers,,,,,,,,,,,
0,Invisible Friends #122,Blue,Swinging,Fast Food,Nose Glasses with White Hair,,Short Sleeves,White Loose Shirt with Pens,Blue Pants,Dark Blue Slippers,Toothpick,,,,,,,,Earphones,,
0,Invisible Friends #123,Yellow,Swinging,Coffee,Sunglasses,Turquoise 5 Panel Cap,Short Sleeves,White Loose Shirt,Dark Blue Pants,Bubblegum Blue Sneakers,Cigar,,,Red Cape,,,,,,,
0,Invisible Friends #124,Blue,Axe,Swinging,,White / Blue Baseball Cap,Short Sleeves,Tan / Green / White Puffer Vest,Tan Pants,Forest Moss Sneakers,Toothpick,,,,,,,,Bing Bong Stick,,
0,Invisible Friends #125,Blue,Axe,Swinging,Sunglasses,Turquoise 5 Panel Cap,Short Sleeves,Light Blue / Pink Tucked Shirt with Pens,Green Tracksuit Pants,Maroon Shoes,,Grey Backpack with Slingshot,,,,,,,,,
0,Invisible Friends #126,Blue,Swinging,Swinging,Black Glasses,,Long Sleeves,Pink Zipper Hoodie with Hood Down,Light Blue Skirt,Ice Grey Sneakers,,,,,,,,,,,
0,Invisible Friends #127,Pink,Swinging,Swinging,Googly Eyes,Green Pointy Beanie,Long Sleeves,Red / White Varsity Jacket,Dark Blue Shorts,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #128,Blue,Axe,Boombox,Sunglasses,Cream Beanie,Long Sleeves,Blue Loose Shirt,Green Pants,White Shoes,,Green Chest Bag,,,,,Scarf,,,,
0,Invisible Friends #129,Blue,Swinging,Book,Black Nerd Glasses,Yellow / Blue Pointy Beanie,Long Sleeves,Purple Zipper Hoodie with Hood Down,Charcoal Pants,Bleached Sand Sneakers,Cigar,,,,,,,,,,
0,Invisible Friends #130,Pink,Bomb,Swinging,,,Long Sleeves,Black / Yellow Varsity Jacket,Lavender Pants,Brown Boots,Bing Bong Stick,,,,,,,,,,
0,Invisible Friends #131,Blue,Swinging,Metal Detector,,White / Blue Baseball Cap,Long Sleeves,Blue Hoodie with Hood Up,Green Shorts,White Shoes,,,,,Gum,Yellow Fannypack,,,,,
0,Invisible Friends #132,Blue,Swinging,Swinging,,Propeller Cap,Long Sleeves,Indigo Turtleneck,Lavender Pants,Bleached Sand Sneakers,,Tote,,,,,,,,,
0,Invisible Friends #133,Green,Swinging,Swinging,,Cream Beanie,Long Sleeves with Stripes,Green / White / Blue Tracksuit Jacket,Green Pants,Forest Moss Sneakers,,Brown Backpack,,,,,,,,,
0,Invisible Friends #134,Orange,Swinging,Book,White Glasses,,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Green Sweatpants,Cream Slippers,,,,,,,,,Headset,,
0,Invisible Friends #135,Orange,Swinging,Swinging,White Nerd Glasses,Turquoise 5 Panel Cap,Long Sleeves,Blue / White Sweater and Shirt,White Sweatpants,Summer Night Sneakers,Pipe,,,,,,Scarf Bandana,,,,
0,Invisible Friends #136,Purple,Baseball Bat,Swinging,Black Nerd Glasses,Dark Blue Beanie,Short Sleeves,Tan / Green / White Puffer Vest,Dark Blue Pants,Yellow Boots,,,,,,,,,,,
0,Invisible Friends #137,Blue,Baseball Bat,Pocket,,White Baseball Cap,Long Sleeves,Blue Turtleneck,Grey Sweatpants,Rocket Pop Sneakers,Cigar,,,,,,,,Pencil,,
0,Invisible Friends #138,Orange,Scientist,Coffee,,Visor,Long Sleeves,Dark Blue / White Sweater Vest and Shirt,Red Sweatpants,White Shoes,Bandana,,,,,,Scarf Bandana,,,,
0,Invisible Friends #139,Blue,Swinging,Swinging,,White / Blue Baseball Cap,Long Sleeves,Indigo Turtleneck,Blue Pants,Light Blue Slippers,,,,Cream Morning Robe,,,,,,,
0,Invisible Friends #140,Yellow,Stick Bag,Swinging,White Nerd Glasses,Big Hat,Long Sleeves,Light Blue / Dark Blue Hoodie Jacket with Hood Down,Pink Skirt,Bleached Sand Sneakers,,,,,,Cream Fannypack,,,,,
