,Name,Background,Left Arm,Right Arm,Eyes,Hat,Sleeves,Upper Body,Legs,Feet,Mouth,Bag,Nose,Outerwear,Shoe Gum,Fannypack,Neck,Suspenders,Ears,Overhead,Special
0,Invisible Friends #3052,Blue,Paint Roller,Book,Black Nerd Glasses,White / Turquoise Backwards Cap,Long Sleeves,Green / White V-Neck Sweater and Shirt,Red Sweatpants,Green Shoes,Bing Bong Stick,,,,,,Scarf,,,,
0,Invisible Friends #3053,Pink,Swinging,Magic Wand,,,Long Sleeves with Stripes,Blue / Yellow Tracksuit Jacket,Green Sweatpants,Tan Boots,Bandana,,,,,,,,Earrings,,
0,Invisible Friends #3054,Yellow,Swinging,Pocket,Black Glasses,,Long Sleeves,Blue Hoodie with Hood Down,White Sweatpants,Ocean Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #3055,Blue,Scientist,Swinging,Black Nerd Glasses,,Long Sleeves,Grey Zipper Hoodie with Hood Up,Red Tracksuit Pants,Summer Night Sneakers,,,,,,,,,,,
0,Invisible Friends #3056,Blue,Swinging,Laptop,Black Nerd Glasses,Tie,Long Sleeves,Green / White / Blue Tracksuit Jacket,Green Sweatpants,Summer Day Sneakers,,,,,Gum,,,,,,
0,Invisible Friends #3057,Orange,Swinging,Swinging,Brown Glasses,,Long Sleeves,Indigo Turtleneck,Grey Sweatpants,Ice Grey Sneakers,Cigar,,,,,,,,,,
0,Invisible Friends #3058,Blue,Fishing Pole,Swinging,Black Glasses,Green Pointy Beanie,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Down,Dark Blue Skirt,Ocean Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #3059,Blue,Skateboard,Swinging,Eye Patch,Tan Baseball Cap,Long Sleeves,Blue Turtleneck,White Skirt,Ice Grey Sneakers,Bing Bong Stick,,,Red Coat,,,,,,,
0,Invisible Friends #3060,Pink,Swinging,Tennis Racket,VR Goggles Graph,,Long Sleeves,Light Blue Loose Shirt,Light Blue Shorts,Cream Slippers,,,,,,,,,,,
0,Invisible Friends #3061,Blue,Swinging,Basketball,White Glasses,Tie,Short Sleeves,Blue Tucked Shirt,Tan Pants,Rocket Pop Sneakers,,,,,,,,,,,
0,Invisible Friends #3062,Blue,Swinging,Book,White Nerd Glasses,,Long Sleeves,Green / White Varsity Jacket,Tan Pants,Tan Boots,,,,,,,,,,,
0,Invisible Friends #3063,Blue,Umbrella,Swinging,White Glasses,Tan Bucket Hat,Long Sleeves,Blue / White Sweater and Shirt,Charcoal Pants,Bleached Sand Sneakers,,,,,,,Scarf,,,,
0,Invisible Friends #3064,Yellow,Baseball Bat,Coffee,Black Nerd Glasses,,Long Sleeves,Grey Zipper Hoodie with Hood Up,Lavender Pants,Maroon Shoes,,,Bandage,,Gum,,,,,,
0,Invisible Friends #3065,Blue,Swinging,Swinging,Sunglasses,,Short Sleeves,Light Blue Loose Shirt,Tan Pants,Bubblegum Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #3066,Blue,Duffel Bag,Swinging,Cool Glasses,Yellow / Blue Pointy Beanie,Short Sleeves,Blue Tucked Shirt,Blue Pants,Black Shoes,,Yellow Chest Bag,,,,,,,,,
0,Invisible Friends #3067,Blue,Duffel Bag,Magic Wand,,Tan Baseball Cap,Long Sleeves,Black / Yellow Varsity Jacket,White Sweatpants,White Shoes,,,,,,,,,,,
0,Invisible Friends #3068,Blue,Swinging,Dog,Pointy Glasses,,Long Sleeves,Grey / White V-Neck Sweater and Shirt,Tan Pants,Brown Boots,,,,,,,Scarf Bandana,,Bing Bong Stick,,
0,Invisible Friends #3069,Pink,Fishing Pole,Crocodile,Cool Glasses,Tan Baseball Cap,Long Sleeves,Grey Tucked Shirt,Light Blue Skirt,Green Shoes,Radioactive Pipe,Tote,,,,,,,,,
0,Invisible Friends #3070,Blue,Swinging,Swinging,Sunglasses,Cowboy Hat,Long Sleeves with Stripes,Blue / Yellow Tracksuit Jacket,Tan Shorts,Ocean Blue Sneakers,,,,,,,,,,,
0,Invisible Friends #3071,Blue,Swinging,Swinging,White Glasses,White / Blue Baseball Cap,Short Sleeves,Black T-Shirt,Blue Sweatpants,Green Boots,,,,,,Yellow Fannypack,,,,,
0,Invisible Friends #3072,Yellow,Boxing Glove,Swinging,,,Long Sleeves,White Loose Shirt,Blue Sweatpants,Summer Night Sneakers,Pipe,Duffel Bag,,,,,,,,,
0,Invisible Friends #3073,Green,Swinging,Metal Detector,Pointy Glasses,,Long Sleeves,Pink / Blue Hoodie Jacket with Hood Up,Blue Pants,Bubblegum Blue Sneakers,Bandana,,,,,Green Fannypack,,,,,
